x	y	z	Ax	Ay	Az
2.4720448839103699e-02	1.5915779822625500e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-7.2056625504046679e-04
2.5281395414081701e-02	1.6876609323833700e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-3.3081574656534940e-05
2.5263193669261198e-02	1.6231608454180150e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-7.3489523492753506e-04
2.5244991924440699e-02	1.5586607584526600e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-1.4369593700394030e-03
1.2831793019973800e-02	2.6166494044731099e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	5.4452745243906983e-03
1.3143909514885550e-02	2.6711382077978602e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	5.4370048455893993e-03
1.3450646776304550e-02	2.6143694066985350e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	4.6856892295181751e-03
1.3456026009797300e-02	2.7256270111226100e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	5.4302248172461987e-03
1.3762763271216300e-02	2.6688582100232852e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	4.6777739189565182e-03
1.4069500532635301e-02	2.6120894089239600e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	3.9259833283722401e-03
2.9076745080698199e-02	-1.9705882909643699e-03	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-8.5246982052922266e-03
2.9366426598930049e-02	-1.4232452278816370e-03	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-8.0421408638358116e-03
2.9704690207164600e-02	-1.9727314940543852e-03	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-8.5335141047835350e-03
2.9656108117161899e-02	-8.7590216479890403e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-7.5572161003947275e-03
2.9994371725396450e-02	-1.4253884309716521e-03	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-8.0428859218955040e-03
3.0332635333631001e-02	-1.9748746971444001e-03	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-8.5406517609953863e-03
1.6156855538752100e-02	2.7984494683669200e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	2.6766650844365363e-03
1.5847033692169801e-02	2.7447867504093899e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	2.6909112930297852e-03
1.5511680842706401e-02	2.7970027403211098e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	3.4308864269405603e-03
1.5537211845587500e-02	2.6911240324518599e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	2.6970589533448219e-03
1.5201858996124100e-02	2.7433400223635801e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	3.4550498239696030e-03
1.4866506146660701e-02	2.7955560122753000e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	4.2037223465740681e-03
2.7984494683669200e-02	1.6156855538752100e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-2.5714267976582055e-03
